Game,Score
798,11
799,26
800,32
801,2
802,18
803,31
804,8
805,18
806,12
807,16
808,13
809,19
810,17
811,13
812,30
813,25
814,10
815,18
816,29
817,5
818,12
819,29
820,27
821,25
822,31
823,31
824,16
825,4
826,12
827,22
828,0
829,14
830,17
831,8
832,20
833,8
834,21
835,15
836,10
837,26
838,16
839,14
840,12
841,23
842,17
843,32
844,10
845,15
846,35
847,23
848,4
849,20
850,22
851,7
852,8
853,11
854,33
855,19
856,24
857,23
858,19
859,17
860,20
861,26
862,15
863,16
864,10
865,22
866,23
867,19
868,21
869,33
870,23
871,23
872,34
873,12
874,8
875,12
876,13
877,32
878,18
879,15
880,17
881,17
882,30
883,13
884,5
885,14
886,17
887,24
888,3
889,28
890,10
891,10
892,22
893,14
894,14
895,13
896,18
897,26
898,20
899,14
900,26
901,24
902,23
903,24
904,5
905,27
906,21
907,2
908,19
909,22
910,5
911,29
912,6
913,27
914,25
915,17
916,18
917,5
918,12
919,24
920,36
921,21
922,35
923,8
924,28
925,19
926,14
927,15
928,21
929,10
930,20
931,49
932,3
933,18
934,22
935,33
936,15
937,10
938,7
939,12
940,19
941,13
942,23
943,29
944,15
945,17
946,21
947,18
948,34
949,16
950,21
951,31
952,14
953,11
954,11
955,23
956,23
957,15
958,24
959,20
960,1
961,34
962,50
963,30
964,16
965,19
966,6
967,16
968,28
969,7
970,12
971,3
972,5
973,25
974,19
975,15
976,2
977,6
978,17
979,35
980,12
981,39
982,18
983,23
984,15
985,22
986,34
987,14
988,10
989,17
990,4
991,11
992,14
993,23
994,24
995,10
996,20
997,5
998,11
999,21
1000,17
1001,18
1002,17
1003,13
1004,19
1005,32
1006,21
1007,28
1008,33
1009,12
1010,11
1011,6
1012,32
1013,21
1014,26
1015,20
1016,11
1017,10
1018,8
1019,13
1020,32
1021,5
1022,22
1023,29
1024,8
1025,12
1026,18
1027,27
1028,32
1029,6
1030,32
1031,19
1032,9
1033,10
1034,24
1035,48
1036,8
1037,10
1038,25
1039,24
1040,31
1041,14
1042,14
1043,45
1044,33
1045,35
1046,2
1047,23
1048,26
1049,17
1050,18
1051,10
1052,23
1053,34
1054,22
1055,35
1056,25
1057,0
1058,17
1059,4
1060,10
1061,30
1062,6
1063,17
1064,6
1065,22
1066,25
1067,7
1068,18
1069,14
1070,11
1071,25
1072,8
1073,24
1074,26
1075,40
1076,16
1077,23
1078,24
1079,37
1080,8
1081,47
1082,31
1083,30
1084,1
1085,2
1086,3
1087,29
1088,14
1089,13
1090,19
1091,28
1092,2
1093,36
1094,24
1095,14
1096,11
1097,16
1098,25
1099,13
1100,24
1101,17
1102,29
1103,30
1104,22
1105,7
1106,26
1107,28
1108,8
1109,19
1110,33
1111,20
1112,27
1113,7
1114,16
1115,24
1116,23
1117,15
1118,40
1119,16
1120,11
1121,24
1122,14
1123,11
1124,22
1125,22
1126,20
1127,11
1128,26
1129,10
1130,29
1131,14
1132,22
1133,14
1134,31
1135,12
1136,25
1137,17
1138,24
1139,18
1140,25
1141,4
1142,12
1143,10
1144,29
1145,11
1146,21
1147,11
1148,18
1149,17
1150,39
1151,17
1152,36
1153,11
1154,19
1155,16
1156,14
1157,6
1158,22
1159,23
1160,26
1161,23
1162,16
1163,13
1164,15
1165,13
1166,23
1167,35
1168,6
1169,12
1170,14
1171,12
1172,25
1173,10
1174,8
1175,3
1176,0
1177,18
1178,14
1179,24
1180,11
1181,19
1182,4
1183,22
1184,18
1185,5
1186,18
1187,26
1188,12
1189,36
1190,8
1191,15
1192,20
1193,38
1194,22
1195,21
1196,16
1197,18
1198,17
1199,7
1200,21
1201,17
1202,14
1203,12
1204,26
1205,28
1206,12
1207,11
1208,32
1209,13
1210,19
1211,6
1212,20
1213,23
1214,22
1215,3
1216,19
1217,22
1218,21
1219,17
1220,15
1221,38
1222,10
1223,27
1224,15
1225,18
1226,2
1227,18
1228,9
1229,36
1230,11
1231,18
1232,7
1233,9
1234,12
1235,18
1236,10
1237,14
1238,26
1239,10
1240,26
1241,13
1242,18
1243,37
1244,11
1245,11
1246,9
1247,10
1248,19
1249,23
1250,11
1251,17
1252,18
1253,36
1254,29
1255,8
1256,15
1257,4
1258,16
1259,19
1260,18
1261,31
1262,17
1263,8
1264,19
1265,22
1266,12
1267,3
1268,16
1269,31
1270,15
1271,6
1272,27
1273,23
1274,15
1275,19
1276,3
1277,13
1278,7
1279,17
1280,10
1281,35
1282,36
1283,2
1284,10
1285,22
1286,18
1287,10
1288,8
1289,32
1290,19
1291,21
1292,39
1293,14
1294,21
1295,25
1296,7
1297,9
1298,20
1299,21
1300,24
1301,20
1302,13
1303,18
1304,13
1305,39
1306,8
1307,29
1308,19
1309,17
1310,10
1311,31
1312,14
1313,9
1314,22
1315,7
1316,2
1317,24
1318,15
1319,16
1320,19
1321,27
1322,32
1323,12
1324,4
1325,1
1326,19
1327,27
1328,30
1329,9
1330,17
1331,7
1332,11
1333,6
1334,15
1335,26
1336,30
1337,7
1338,21
1339,16
1340,2
1341,8
1342,25
1343,22
1344,12
1345,13
1346,20
1347,31
1348,15
1349,15
1350,18
1351,15
1352,32
1353,16
1354,27
1355,23
1356,24
1357,10
1358,37
1359,21
1360,12
1361,4
1362,11
1363,2
1364,18
1365,20
1366,19
1367,22
1368,18
1369,23
1370,3
1371,5
1372,9
1373,21
1374,28
1375,37
1376,10
1377,6
1378,14
1379,14
1380,17
1381,22
1382,17
1383,4
1384,6
1385,28
1386,8
1387,9
1388,28
1389,22
1390,16
1391,16
1392,29
1393,40
1394,26
1395,18
1396,18
1397,21
1398,35
1399,13
1400,5
1401,17
1402,32
1403,22
1404,6
1405,5
1406,19
1407,24
1408,15
1409,3
1410,1
1411,17
1412,14
1413,21
1414,15
1415,1
1416,15
1417,12
1418,38
1419,21
1420,21
1421,21
1422,27
1423,7
1424,20
1425,4
1426,34
1427,24
1428,17
1429,29
1430,24
1431,10
1432,21
1433,17
1434,18
1435,15
1436,21
1437,8
1438,6
1439,25
1440,31
1441,1
1442,4
1443,20
1444,1
1445,22
1446,7
1447,13
1448,13
1449,24
1450,15
1451,12
1452,26
1453,10
1454,38
1455,18
1456,11
1457,23
1458,27
1459,21
1460,19
1461,44
1462,9
1463,15
1464,19
1465,15
1466,17
1467,13
1468,7
1469,8
1470,30
1471,30
1472,17
1473,24
1474,15
1475,13
1476,9
1477,26
1478,12
1479,15
1480,9
1481,24
1482,3
1483,9
1484,37
1485,13
1486,23
1487,17
1488,9
1489,19
1490,17
1491,2
1492,2
1493,4
1494,23
1495,32
1496,12
1497,47
1498,11
1499,24
1500,22
1501,15
1502,21
1503,14
1504,15
1505,11
1506,5
1507,34
1508,15
1509,35
1510,22
1511,24
1512,4
1513,13
1514,9
1515,6
1516,25
1517,15
1518,17
1519,14
1520,11
1521,19
1522,17
1523,20
1524,31
1525,10
1526,9
1527,3
1528,15
1529,5
1530,15
1531,16
1532,32
1533,24
1534,31
1535,25
1536,17
1537,19
1538,14
1539,24
1540,26
1541,6
1542,38
1543,27
1544,9
1545,14
1546,11
1547,20
1548,6
1549,12
1550,32
1551,15
1552,21
1553,29
1554,40
1555,14
1556,33
1557,16
1558,18
1559,35
1560,12
1561,6
1562,20
1563,16
1564,20
1565,50
1566,14
1567,26
1568,3
1569,14
1570,22
1571,32
1572,20
1573,18
1574,27
1575,34
1576,31
1577,24
1578,22
1579,11
1580,18
1581,11
1582,11
1583,2
1584,11
1585,13
1586,14
1587,6
1588,40
1589,12
1590,18
1591,17
1592,19
1593,14
1594,22
1595,16
1596,19
1597,23
1598,15
1599,27
1600,32
1601,19
1602,37
1603,39
1604,28
1605,7
1606,21
1607,6
1608,29
1609,21
1610,9
1611,22
1612,11
1613,14
1614,41
1615,22
1616,6
1617,19
1618,22
1619,16
1620,6
1621,5
1622,10
1623,20
1624,17
1625,4
1626,42
1627,19
1628,22
1629,14
1630,10
1631,15
1632,12
1633,36
1634,15
1635,32
1636,23
1637,24
1638,23
1639,7
1640,0
1641,18
1642,9
1643,18
1644,30
1645,23
1646,9
1647,7
1648,30
1649,44
1650,15
1651,23
1652,27
1653,23
1654,8
1655,23
1656,11
1657,18
1658,17
1659,27
1660,40
1661,15
1662,18
1663,24
1664,38
1665,11
1666,30
1667,22
1668,13
1669,10
1670,21
1671,16
1672,13
1673,10
1674,25
1675,16
1676,1
1677,18
1678,19
1679,14
1680,7
1681,29
1682,5
1683,16
1684,11
1685,15
1686,16
1687,27
1688,15
1689,21
1690,17
1691,27
1692,15
1693,8
1694,9
1695,23
1696,14
1697,19
1698,18
1699,10
1700,3
1701,18
1702,9
1703,28
1704,19
1705,13
1706,16
1707,16
1708,16
1709,10
1710,13
1711,9
1712,3
1713,19
1714,16
1715,27
1716,13
1717,26
1718,26
1719,14
1720,16
1721,12
1722,12
1723,43
1724,7
1725,14
1726,20
1727,20
1728,6
1729,8
1730,11
1731,18
1732,6
1733,2
1734,16
1735,20
1736,18
1737,5
1738,36
1739,9
1740,25
1741,14
1742,4
1743,16
1744,7
1745,30
1746,13
1747,27
1748,9
1749,8
1750,14
1751,20
1752,12
1753,16
1754,32
1755,16
1756,26
1757,10
1758,8
1759,20
1760,16
1761,18
1762,20
1763,14
1764,2
1765,26
1766,44
1767,29
1768,17
1769,14
1770,15
1771,14
1772,7
1773,16
1774,19
1775,6
1776,14
1777,13
1778,11
1779,12
1780,17
1781,31
1782,25
1783,21
1784,7
1785,44
1786,20
1787,32
1788,16
1789,17
1790,22
1791,14
1792,33
1793,22
1794,22
1795,7
1796,8
1797,19
1798,9
1799,15
1800,23
1801,30
1802,16
1803,8
1804,8
1805,35
1806,23
1807,7
1808,23
1809,4
1810,13
1811,4
1812,9
1813,14
1814,6
1815,26
1816,21
1817,15
1818,34
1819,12
1820,11
1821,22
1822,4
1823,15
1824,8
1825,22
1826,30
1827,32
1828,6
1829,18
1830,24
1831,35
1832,23
1833,31
1834,23
1835,18
1836,23
1837,13
1838,21
1839,19
1840,21
1841,24
1842,19
1843,34
1844,9
1845,2
1846,28
1847,11
1848,18
1849,14
1850,13
1851,14
1852,36
1853,31
1854,24
1855,27
1856,7
1857,8
1858,19
1859,27
1860,21
1861,16
1862,14
1863,19
1864,33
1865,6
1866,16
1867,47
1868,12
1869,19
1870,12
1871,39
1872,18
1873,5
1874,18
1875,16
1876,5
1877,28
1878,9
1879,26
1880,3
1881,30
1882,3
1883,27
1884,27
1885,24
1886,13
1887,26
1888,26
1889,29
1890,20
1891,23
1892,22
1893,20
1894,3
1895,10
1896,19
1897,9
1898,27
1899,19
1900,29
1901,17
1902,36
1903,19
1904,16
1905,24
1906,33
1907,20
1908,42
1909,22
1910,16
1911,14
1912,21
1913,24
1914,27
1915,18
1916,1
1917,31
1918,16
1919,25
1920,23
1921,21
1922,21
1923,18
1924,30
1925,25
1926,15
1927,17
1928,27
1929,11
1930,48
1931,23
1932,5
1933,30
1934,8
1935,17
1936,16
1937,8
1938,19
1939,23
1940,22
1941,28
1942,17
1943,16
1944,18
1945,23
1946,27
1947,19
1948,8
1949,9
1950,1
1951,28
1952,30
1953,26
1954,8
1955,11
1956,4
1957,8
1958,14
1959,15
1960,18
1961,10
1962,14
1963,29
1964,31
1965,32
1966,11
1967,11
1968,26
1969,7
1970,13
1971,4
1972,26
1973,32
1974,22
1975,15
1976,31
1977,9
1978,11
1979,8
1980,26
1981,26
1982,4
1983,5
1984,24
1985,2
1986,1
1987,40
1988,14
1989,8
1990,29
1991,2
1992,12
1993,32
1994,17
1995,34
1996,9
1997,7
1998,26
1999,4
