Episode,TotalReward,ApplesEaten,AvgLoss,Epsilon,StepsPerApple,TotalTime
0,-10,0,0.5555555555555556,1,18,0.1557462215423584
1,-10,0,0.20408163265306123,0.995,49,0.15674448013305664
2,-10,0,0.47619047619047616,0.990025,21,0.1582486629486084
3,-10,0,0.3333333333333333,0.985074875,30,0.16025257110595703
4,-10,0,0.5882352941176471,0.9801495006250001,17,0.1612534523010254
5,0,1,0.42531914893617023,0.9752487531218751,47.0,0.16225218772888184
6,-10,0,1.996002,0.9703725093562657,5,0.1632535457611084
7,-10,0,0.997002999,0.9655206468094844,10,0.1632535457611084
8,0,1,0.4578329356065373,0.960693043575437,44.0,0.16475629806518555
9,0,1,0.31566140513010554,0.9558895783575597,64.0,0.16675949096679688
10,-10,0,0.3860153562305744,0.9511101304657719,26,0.16826176643371582
11,-10,0,0.3729017284754918,0.946354579813443,27,0.17026662826538086
12,-10,0,0.4765279288102184,0.9416228069143757,21,0.17026662826538086
13,-10,0,0.6285207444359734,0.9369146928798039,16,0.1712653636932373
14,10,2,2.502217588164472,0.9322301194154049,6.0,0.17226457595825195
15,-10,0,0.36016158585957286,0.9275689688183278,28,0.1732645034790039
16,-10,0,0.8364323749157188,0.9229311239742362,12,0.1732645034790039
17,-10,0,0.910877082424555,0.918316468354365,11,0.1732645034790039
18,-10,0,0.5571553894384806,0.9137248860125932,18,0.17476844787597656
19,-10,0,1.6649258507848472,0.9091562615825302,6,0.17476844787597656
20,-10,0,0.1685242769909449,0.9046104802746175,60,0.1767733097076416
21,-10,0,0.5278303324022738,0.9000874278732445,19,0.17827558517456055
22,-10,0,0.34444735700259216,0.8955869907338783,29,0.17927908897399902
23,0,1,0.558847785764623,0.8911090557802088,36.0,0.18127965927124023
24,-10,0,0.5292699015412407,0.8866535105013078,19,0.18127965927124023
25,-10,0,0.43723515164584503,0.8822202429488013,23,0.18278193473815918
26,10,2,1.431372657829979,0.8778091417340573,10.5,0.18378520011901855
27,0,1,1.0097041307349304,0.8734200960253871,20.0,0.18378520011901855
28,-10,0,0.5976555398517972,0.8690529955452602,17,0.1852877140045166
29,-10,0,0.3522059751965473,0.8647077305675338,29,0.18629074096679688
30,-10,0,0.8443444162914915,0.8603841919146962,12,0.18729066848754883
31,0,1,0.4198027615186711,0.8560822709551227,49.0,0.18879389762878418
32,-10,0,1.0091913220371864,0.851801859600347,10,0.18879389762878418
33,-10,0,0.5681181480287948,0.8475428503023453,18,0.18979907035827637
34,-10,0,1.1197094402671424,0.8433051360508336,9,0.1907970905303955
35,-10,0,0.9111517491788323,0.8390886103705794,11,0.1907970905303955
36,0,1,1.186330842528745,0.8348931673187264,17.0,0.19179701805114746
37,-10,0,1.1206303594359572,0.8307187014821328,9,0.19179701805114746
38,-10,0,0.7824488422035716,0.8265651079747222,13,0.19279718399047852
39,0,1,2.848942635321943,0.8224322824348486,7.0,0.19279718399047852
40,0,1,0.9242255657225686,0.8183201210226743,22.0,0.19379901885986328
41,-10,0,0.4916764578548311,0.8142285204175609,21,0.19379901885986328
42,-10,0,0.7296033669817241,0.810157377815473,14,0.19530200958251953
43,0,1,1.8263750397347351,0.8061065909263957,11.0,0.19530200958251953
44,-10,0,0.3247040881894371,0.8020760579717637,33,0.19730687141418457
45,0,1,1.6661317421676518,0.798065677681905,12.0,0.19730687141418457
46,-10,0,1.1325475005793357,0.7940753492934954,9,0.19730687141418457
47,-10,0,0.524316377759791,0.7901049725470279,20,0.1983051300048828
48,-10,0,0.19722049604182906,0.7861544476842928,58,0.2005460262298584
49,-10,0,1.2700126774898985,0.7822236754458713,8,0.20154500007629395
50,-10,0,1.1317618103800962,0.778312557068642,9,0.20154500007629395
51,-10,0,0.7246511637344434,0.7744209942832988,14,0.2025439739227295
52,10,2,0.7334573088140962,0.7705488893118823,21.0,0.20354366302490234
53,10,2,1.6832112440580522,0.7666961448653229,9.0,0.2045435905456543
54,0,1,0.2928417357711838,0.7628626641409962,74.0,0.2080528736114502
55,-10,0,1.1300107557733035,0.7590483508202912,9,0.2080528736114502
56,-10,0,0.42370068996546406,0.7552531090661897,25,0.20906758308410645
57,0,1,0.6918296434677168,0.7514768435208588,30.0,0.2100691795349121
58,0,1,2.508188395545613,0.7477194593032545,8.0,0.21106672286987305
59,20,3,0.5605054747098005,0.7439808620067382,25.0,0.2140662670135498
60,0,1,0.7111867469981499,0.7402609576967045,29.0,0.2140662670135498
61,0,1,0.5871437907327809,0.736559652908221,36.0,0.21657276153564453
62,-10,0,1.1382621356820148,0.7328768546436799,9,0.21657276153564453
63,0,1,0.36321688957158266,0.7292124703704616,60.0,0.2190837860107422
64,-10,0,0.523752858637739,0.7255664080186093,21,0.22008204460144043
65,-10,0,1.4491903206619117,0.7219385759785162,7,0.22008204460144043
66,0,1,0.9472392192374421,0.7183288830986236,22.0,0.22108221054077148
67,0,1,0.8034671805336381,0.7147372386831305,26.0,0.22208166122436523
68,-10,0,1.03006197308988,0.7111635524897149,10,0.2230818271636963
69,0,1,0.9037662389623007,0.7076077347272662,23.0,0.22408175468444824
70,0,1,0.2712773404601725,0.7040696960536299,85.0,0.22659039497375488
71,0,1,0.622071385824791,0.7005493475733617,35.0,0.22909855842590332
72,10,2,1.6924675710755892,0.697046600835495,9.0,0.22909855842590332
73,-10,0,1.4460844115267173,0.6935613678313175,7,0.23009920120239258
74,30,4,1.2814807077379453,0.6900935609921609,10.0,0.23109722137451172
75,0,1,0.948988732749805,0.6866430931872001,22.0,0.23209691047668457
76,10,2,1.2047874304372113,0.6832098777212641,13.0,0.23309755325317383
77,-10,0,0.5943377905837963,0.6797938283326578,18,0.23409700393676758
78,-10,0,0.5213105264101964,0.6763948591909945,21,0.23509693145751953
79,-10,0,0.30487212622501414,0.6730128848950395,41,0.23609685897827148
80,10,2,1.016264255920288,0.6696478204705644,15.5,0.23813080787658691
81,0,1,0.8559793171283148,0.6662995813682115,25.0,0.2386341094970703
82,0,1,1.15576939448048,0.6629680834613705,18.0,0.2396383285522461
83,0,1,1.1080772526236333,0.6596532430440636,19.0,0.24063777923583984
84,0,1,1.1639151401363739,0.6563549768288433,18.0,0.2416396141052246
85,0,1,0.8888682448677109,0.653073201944699,24.0,0.24263787269592285
86,-10,0,1.2772657294424787,0.6498078359349755,8,0.24263787269592285
87,0,1,0.7999318003628778,0.6465587967553006,27.0,0.24363923072814941
88,10,2,0.7904917268277958,0.6433260027715241,20.0,0.24463725090026855
89,30,4,0.8652264106885877,0.6401093727576664,15.25,0.24814319610595703
90,-10,0,0.8957585853280028,0.6369088258938781,12,0.24814319610595703
91,0,1,1.7156926563750428,0.6337242817644086,12.0,0.24814319610595703
92,0,1,1.0552076300553996,0.6305556603555866,20.0,0.24953413009643555
93,10,2,0.9836613651338064,0.6274028820538087,16.0,0.2505342960357666
94,0,1,1.2340362414665749,0.6242658676435396,17.0,0.25153398513793945
95,-10,0,0.543710043745059,0.6211445383053219,21,0.2525322437286377
96,0,1,0.5749048098481658,0.6180388156137953,40.0,0.2545318603515625
97,-10,0,0.8241663580525057,0.6149486215357263,13,0.2545318603515625
