Game,Score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,2
217,0
218,0
219,1
220,2
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,2
237,2
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,2
246,0
247,0
248,2
249,3
250,0
251,0
252,2
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,4
261,1
262,2
263,2
264,0
265,1
266,0
267,0
268,0
269,1
270,3
271,1
272,3
273,3
274,0
275,0
276,0
277,2
278,0
279,3
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,0
289,1
290,4
291,1
292,0
293,0
294,0
295,0
296,0
297,4
298,0
299,1
300,1
301,2
302,0
303,0
304,1
305,0
306,2
307,0
308,1
309,0
310,4
311,2
312,1
313,3
314,0
315,1
316,1
317,0
318,2
319,1
320,0
321,4
322,0
323,1
324,0
325,1
326,0
327,4
328,0
329,0
330,2
331,0
332,2
333,0
334,1
335,0
336,1
337,0
338,3
339,0
340,2
341,0
342,2
343,0
344,0
345,2
346,2
347,1
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,5
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,5
365,0
366,1
367,2
368,2
369,2
370,1
371,1
372,2
373,0
374,1
375,4
376,1
377,2
378,4
379,0
380,0
381,2
382,4
383,1
384,0
385,2
386,2
387,2
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,2
397,1
398,0
399,3
400,1
401,1
402,2
403,0
404,1
405,3
406,2
407,1
408,1
409,1
410,0
411,0
412,1
413,2
414,1
415,1
416,7
417,1
418,3
419,3
420,3
421,4
422,0
423,0
424,1
425,3
426,2
427,5
428,2
429,0
430,2
431,10
432,1
433,5
434,1
435,3
436,2
437,4
438,5
439,4
440,3
441,2
442,3
443,3
444,1
445,6
446,0
447,0
448,0
449,2
450,6
451,1
452,7
453,4
454,1
455,4
456,1
457,3
458,3
459,2
460,0
461,1
462,0
463,0
464,5
465,4
466,1
467,5
468,1
469,3
470,0
471,0
472,5
473,1
474,0
475,1
476,2
477,2
478,3
479,3
480,6
481,5
482,3
483,2
484,0
485,0
486,3
487,4
488,3
489,3
490,0
491,8
492,0
493,2
494,4
495,2
496,4
497,0
498,1
499,7
500,4
501,1
502,5
503,7
504,2
505,1
506,0
507,6
508,3
509,2
510,1
511,2
512,3
513,1
514,2
515,1
516,5
517,12
518,3
519,6
520,0
521,5
522,10
523,1
524,1
525,0
526,3
527,3
528,0
529,5
530,1
531,9
