Episode,Score,Epsilon,Loss,Steps
0,-0.9999999999999964,0.9,N/A,12
1,-11.1,0.9,N/A,12
2,-11.6,0.9,N/A,17
3,-11.0,0.9,N/A,11
4,-1.5999999999999996,0.854714337965622,9.281831741333008,18
5,-13.899999999999991,0.302125591619335,1.4921013116836548,141
6,-9.499999999999986,0.14773701069550446,1.7008861303329468,97
7,-0.3000000000000007,0.1423881789777381,1.5374211072921753,5
8,7.900000000000038,0.056635618672122495,0.1436958760023117,125
9,4.499999999999986,0.03692422085109139,0.15119948983192444,58
10,4.999999999999991,0.024977467485168728,2.158165216445923,53
11,-18.19999999999999,0.013542325115368344,0.4760856628417969,83
12,18.49999999999993,0.005588874023870555,0.14443890750408173,120
13,-99.9999999999986,3.501466905847939e-06,0.04036208242177963,1000
14,15.400000000000027,2.5915810758330057e-07,0.06372329592704773,353
15,-13.699999999999974,4.4139455282385576e-08,0.04829353466629982,240
16,14.599999999999977,2.8777208288816937e-08,0.04284130409359932,58
17,-6.399999999999983,1.7686657131059388e-08,0.01574430987238884,66
18,4.100000000000078,5.688701364398035e-10,0.19553859531879425,466
19,40.99999999999997,1.3207007522477515e-10,0.021421276032924652,198
20,32.700000000000074,3.747309300369577e-12,0.01587788388133049,483
21,12.899999999999995,1.0232422526098904e-12,0.17351612448692322,176
22,-2.999999999999991,8.081278757553122e-13,1.9880067110061646,32
23,-21.90000000000017,7.517789563132064e-14,0.1774735003709793,322
24,123.00000000000068,2.04073604232266e-15,0.02588908188045025,489
25,75.30000000000007,6.81035240116437e-17,0.11538956314325333,461
26,95.30000000000081,4.7169002309526524e-18,0.2818965017795563,362
27,37.699999999999896,1.8082439974725323e-18,0.035527899861335754,130
28,196.00000000000114,5.816000174234406e-20,0.06163988634943962,466
29,8.100000000000005,4.94489160887714e-20,0.7419790029525757,22
30,122.20000000000056,2.6652586146078677e-21,0.026843328028917313,396
31,274.7999999999996,1.667340276220834e-23,0.04835142940282822,688
32,-4.800000000000207,5.859067635054011e-25,0.06495632976293564,454
33,16.399999999999917,2.071071230408668e-25,0.0946669727563858,141
34,-11.1,1.8956499524711298e-25,0.11312159895896912,12
35,100.80000000000089,4.440105898941011e-27,0.7151588797569275,509
36,-1.9000000000006665,4.3557780869362105e-29,0.02580409124493599,627
37,81.80000000000192,2.7289240651128997e-32,0.024630587548017502,1000
