Episode,Score,Epsilon,Loss,Steps
0,-13.900000000000002,0.8338677873169756,3.32210636138916,40
1,-11.1,0.7531880960487437,3.413426637649536,12
2,-11.0,0.68610804273283,3.4991543292999268,11
3,-11.1,0.6197246353074829,2.269132614135742,12
4,-11.2,0.5550373364895862,3.2908689975738525,13
5,-17.599999999999987,0.28889873346920336,3.460408926010132,77
6,-1.4999999999999964,0.2501138986550025,0.05216352269053459,17
7,-14.7,0.16648029128834632,0.20924004912376404,48
8,-3.699999999999992,0.11960054002266941,3.2338478565216064,39
9,-10.4,0.11463548644950441,6.330345630645752,5
10,-13.900000000000002,0.0816594742098946,2.607125759124756,40
11,17.29999999999997,0.06278261380451848,0.9907205104827881,31
12,-13.800000000000002,0.045103444119098106,0.09222269058227539,39
13,-14.799999999999986,0.012641186391226193,0.2043096125125885,150
14,8.99999999999999,0.0020416587438184673,0.15606895089149475,215
15,-89.89999999999915,4.238094915465555e-07,0.37093400955200195,1000
16,-99.9999999999986,8.79747830869231e-11,0.06355708092451096,1000
17,-99.9999999999986,1.826189033885992e-14,0.01695878803730011,1000
18,-17.89999999999996,1.671062190028232e-15,0.012318222783505917,282
19,-58.20000000000044,2.129619467456807e-18,0.01013383362442255,786
20,-27.30000000000009,2.0678954506289591e-19,0.01713423803448677,275
21,-17.79999999999999,1.0582454072073628e-19,0.004047916736453772,79
22,-17.899999999999988,5.3698406026840436e-20,0.053309518843889236,80
23,3.1000000000000387,1.2383255575980894e-20,3.0374038219451904,173
24,-19.399999999999984,5.533088941229401e-21,0.0017289441311731935,95
25,-9.099999999999982,2.5145836719762695e-21,0.0022954707965254784,93
26,-21.799999999999976,9.166665984370366e-22,0.027793187648057938,119
27,-4.9999999999999964,5.898005295279649e-22,0.0022187293507158756,52
28,11.09999999999998,2.6804246181960814e-22,0.035128675401210785,93
29,-16.299999999999994,1.55777094649858e-22,0.02709498070180416,64
30,-11.700000000000001,1.3372511349253235e-22,0.324283629655838,18
31,-12.399999999999997,4.593868966494283e-23,0.0032978132367134094,126
32,-6.399999999999995,2.6249013130176964e-23,0.013842306099832058,66
33,-12.700000000000001,2.070113849253941e-23,0.017448673024773598,28
34,-0.6999999999999993,1.9180013944129013e-23,0.0016778241842985153,9
35,-1.399999999999995,1.674649480194956e-23,0.11391658335924149,16
36,-10.4,1.6051286871963217e-23,0.06157504767179489,5
37,-10.4,1.538493955260804e-23,3.3030550479888916,5
38,2.999999999999991,1.4939028777301951e-24,1.3088431358337402,275
39,-26.29999999999993,6.705219484005573e-26,0.0012358888052403927,366
40,-20.399999999999977,2.7524389092652385e-26,0.008752653375267982,105
41,-11.8,2.342848746062174e-26,0.047757916152477264,19
42,-10.8,2.1706956665524624e-26,0.0028701608534902334,9
43,-1.4000000000000075,8.048406067216463e-27,3.4369699954986572,117
44,14.600000000000016,2.0899827248753035e-27,0.07707718759775162,159
45,-17.59999999999997,4.619575570168522e-28,0.23012444376945496,178
46,-4.300000000000001,3.15410040842068e-28,0.006989647168666124,45
47,-12.5,2.530010888822222e-28,2.943920850753784,26
48,-14.7,1.6840205682243753e-28,0.9781419634819031,48
49,28.299999999999983,1.3974153746250296e-28,0.014357986859977245,22
50,-37.60000000000012,1.3340940947117333e-29,0.03320452198386192,277
51,-31.60000000000018,8.996054856182743e-31,0.003804911859333515,318
52,-34.10000000000012,4.907354324614687e-32,0.1294948160648346,343
53,-19.59999999999998,2.155830472685273e-32,0.01412289310246706,97
54,-40.90000000000019,6.606610138852465e-34,2.694751262664795,411
55,-10.599999999999987,2.643838559319175e-34,0.012302480638027191,108
56,-37.90000000000013,2.4606363735980567e-35,3.0275557041168213,280
57,-0.20000000000002238,1.0100715289633873e-35,0.026342669501900673,105
58,-15.199999999999987,2.736522408168153e-36,0.006998905446380377,154
59,-14.19999999999994,1.4552777610281002e-37,0.022549975663423538,346
60,-26.19999999999996,3.6529813872902094e-38,0.299315869808197,163
61,-10.8,3.384559451699759e-38,2.1787266731262207,9
62,8.500000000000004,2.905437399625979e-38,1.848197102546692,18
63,-6.399999999999963,7.049881862383875e-39,0.08052463829517365,167
64,-2.599999999999996,5.559850195719198e-39,4.284350872039795,28
65,-16.299999999999994,3.2311944320242124e-39,3.116765260696411,64
66,8.600000000000001,2.7974045680337413e-39,0.7284398674964905,17
67,-1.5999999999999996,2.4014008233089202e-39,3.6474721431732178,18
68,18.89999999999997,8.979629296732344e-40,0.04352825507521629,116
69,-4.299999999999999,6.131007492373715e-40,6.2225446701049805,45
70,-7.79999999999999,3.111048981992632e-40,1.3359848260879517,80
71,15.599999999999604,2.859641234399567e-42,0.38889801502227783,553
72,-13.399999999999974,3.832524981085891e-43,3.219491481781006,237
73,-13.299999999999995,1.2198468535921756e-43,0.5476610660552979,135
74,-17.89999999999994,4.740106863328355e-45,0.052117303013801575,383
75,11.90000000000002,2.3054147764996763e-45,1.384773850440979,85
76,-15.799999999999995,1.3978582580613388e-45,1.8471380472183228,59
77,-4.299999999999985,9.544135030796019e-46,0.42051243782043457,45
78,-10.9,8.768159681608807e-46,3.447206735610962,10
79,-10.49999999999999,3.5387307153098504e-46,3.1319620609283447,107
80,-10.4,3.3918251279338427e-46,3.6554009914398193,5
81,-29.700000000000152,1.141059953300081e-47,0.14387179911136627,400
82,-10.8,1.0572145982826114e-47,4.194511890411377,9
83,-89.89999999999931,2.1945762616320378e-51,5.537567615509033,1000
84,-56.999999999999915,1.314891028873968e-54,1.4266700744628906,875
85,-76.80000000000048,4.5194773802199875e-57,2.5381977558135986,669
86,-10.6,4.259008725209653e-57,1.0146327018737793,7
87,-10.5,4.0477311123796573e-57,0.027112910524010658,6
88,-6.199999999999988,9.98958845310033e-58,0.17456652224063873,165
89,4.600000000000007,2.6161535218863216e-58,0.007641978096216917,158
90,-61.300000000000736,6.0362816327163854e-61,0.0366804338991642,716
91,3.300000000000024,1.415821689702616e-61,0.002971731824800372,171
92,-28.29999999999999,2.9742061408695633e-62,0.015755044296383858,184
93,-4.999999999999961,8.126447938687242e-63,0.013189762830734253,153
94,-14.699999999999948,9.754334373492762e-64,0.26560524106025696,250
95,16.699999999999974,7.127440120185073e-64,0.5490416288375854,37
96,-40.20000000000016,5.458098861374987e-65,0.009125133976340294,303
97,-36.80000000000008,1.005626530386671e-66,0.0032163956202566624,471
98,-10.4,9.638793142200927e-67,0.11743168532848358,5
99,-2.6999999999999993,7.537391928245326e-67,0.7616666555404663,29
