Episode,Score,Epsilon,Loss,Steps
0,-11.8,0.9,N/A,19
1,-11.700000000000001,0.9,N/A,18
2,-12.900000000000002,0.8713772145783266,3.9078712463378906,30
3,-10.5,0.8301407528920617,4.575955867767334,6
4,-10.5,0.7908557374267374,2.711030960083008,6
5,-10.7,0.7413523178997762,3.6739721298217773,8
6,-11.3,0.6620603281318879,1.3244500160217285,14
7,24.69999999999996,0.41435355635682625,1.561046838760376,58
8,-12.900000000000002,0.32516122130893593,0.835657000541687,30
9,-3.199999999999969,0.10923788559940864,1.8629647493362427,135
10,-14.4,0.07593898681919203,0.4010147750377655,45
11,-11.1,0.06892168215506286,0.21186351776123047,12
12,-1.1999999999999993,0.0615501029689252,0.7840070724487305,14
13,5.3999999999999755,0.0414270479448862,2.4160070419311523,49
14,5.8999999999999915,0.0128371244457964,0.6477236151695251,145
15,8.0,0.004713485148261834,0.24065342545509338,124
16,72.89999999999989,0.0010831535823174008,1.7580881118774414,182
17,81.80000000000008,0.0005109116833860815,4.124505996704102,93
18,8.399999999999991,0.0004382009975384332,0.565590500831604,19
19,184.7000000000008,2.0832968123118012e-05,1.1094467639923096,377
20,99.60000000000068,3.5790870157633514e-06,0.6329504251480103,218
21,197.80000000000078,4.903872786642845e-07,1.4354186058044434,246
22,53.49999999999991,2.718795477948732e-07,2.4069600105285645,73
23,66.00000000000003,1.8299184759152438e-07,1.6273863315582275,49
24,136.30000000000095,2.3314010241383763e-08,1.918886423110962,255
25,164.5000000000004,5.66928673366002e-09,2.068826675415039,175
26,154.9000000000005,1.4354406803189432e-09,2.090592384338379,170
27,75.70000000000005,9.354145979253235e-10,0.7567002773284912,53
28,63.50000000000003,5.144372513601573e-10,1.2339822053909302,74
29,85.30000000000005,3.2196296253692587e-10,1.4864563941955566,58
30,165.90000000000026,8.766867433667488e-11,1.0284960269927979,161
31,97.99999999999994,2.9932096297394076e-11,1.1143566370010376,133
32,157.30000000000052,9.200508283755871e-12,1.974973201751709,146
33,139.40000000000032,3.4056129594801503e-12,1.2524781227111816,123
34,74.20000000000007,1.965975134922279e-12,2.930692434310913,68
35,112.1000000000002,9.27328942151793e-13,1.556044340133667,93
36,169.8000000000009,1.53006378107009e-13,2.0300252437591553,223
37,144.7000000000003,3.8428840833489096e-14,3.387691020965576,171
38,205.00000000000065,9.420583469299638e-15,3.2609059810638428,174
39,207.2000000000009,1.2197791279828235e-15,1.7604517936706543,253
40,122.40000000000023,5.847296906426813e-16,2.3039793968200684,91
41,110.50000000000007,2.423626544275085e-16,1.5790174007415771,109
42,149.4000000000005,8.898977157703371e-17,2.1415576934814453,124
43,192.60000000000076,1.8115562641552495e-17,2.0099892616271973,197
44,265.2000000000003,1.9011623639753973e-18,2.3318276405334473,279
45,229.60000000000088,2.940507617633265e-19,2.7047781944274902,231
46,250.10000000000048,4.659642972759864e-20,3.169757843017578,228
47,108.80000000000031,1.6834835554291092e-20,1.8542996644973755,126
48,129.30000000000044,6.231496387611133e-21,1.3635603189468384,123
49,147.5000000000004,1.9624304184221814e-21,2.478508949279785,143
50,111.2000000000002,8.607328205241125e-22,1.9576950073242188,102
51,200.9000000000006,1.5150142007731446e-22,1.2692601680755615,215
52,144.40000000000055,3.713959990986763e-23,1.9459353685379028,174
53,101.20000000000023,1.6421786243588016e-23,1.5832496881484985,101
54,161.60000000000022,7.144723291553958e-24,3.9396896362304688,103
55,73.29999999999997,3.835186139599936e-24,2.9440295696258545,77
56,158.60000000000036,1.309420516706883e-24,3.776888370513916,133
57,155.10000000000053,3.3694120416048387e-25,2.2153170108795166,168
58,158.40000000000038,1.1319536987111928e-25,1.297961950302124,135
59,240.40000000000072,1.852658212130984e-26,9.128543853759766,224
60,122.0000000000002,8.598702919903591e-27,1.0271663665771484,95
61,159.9000000000004,3.260946293239199e-27,2.5156056880950928,120
62,214.60000000000065,7.677481454168214e-28,1.2941324710845947,179
63,159.4000000000003,2.796302108555102e-28,2.8392584323883057,125
64,198.10000000000053,8.877590065834372e-29,2.3372247219085693,142
65,187.60000000000042,2.728787857989386e-29,5.148380756378174,146
66,185.0000000000005,6.798427120226444e-30,2.6425986289978027,172
67,82.80000000000001,3.47660231343961e-30,3.278934955596924,83
68,132.20000000000022,1.6266785167716794e-30,1.6620653867721558,94
69,157.30000000000058,5.000073840424112e-31,5.690948486328125,146
70,191.80000000000067,9.541475361731995e-32,8.404805183410645,205
71,150.30000000000024,3.767659286702527e-32,1.1600936651229858,115
72,211.40000000000066,6.849459033048655e-33,5.46004056930542,211
73,213.9000000000007,1.5239399700677402e-33,2.4297845363616943,186
74,183.40000000000063,3.336270784553336e-34,4.897532939910889,188
75,239.00000000000094,4.876417156273303e-35,2.773592233657837,238
76,156.70000000000044,1.427976539990879e-35,3.8859174251556396,152
77,136.80000000000027,4.284188064976071e-36,5.227917671203613,149
78,121.60000000000022,1.9251734149817764e-36,1.4790526628494263,99
79,261.1000000000003,3.280816090075494e-37,2.6926403045654297,219
80,181.40000000000077,6.110739482143712e-38,1.7418508529663086,208
81,128.90000000000035,2.189983930421646e-38,1.4589263200759888,127
82,313.19999999999874,1.8779385281616588e-39,5.390871047973633,304
