Episode,Score,Epsilon,Loss,Steps
0,-3.099999999999997,0.8841484596357215,6.219179153442383,33
1,-10.6,0.8308346352951027,3.070746898651123,7
2,-11.2,0.7402050549333854,7.76437520980835,13
3,-10.8,0.6833199965101897,9.788585662841797,9
4,-11.6,0.5875258157637052,4.684370994567871,17
5,-2.1999999999999957,0.4746999396884729,9.209132194519043,24
6,-13.700000000000003,0.33868050236411107,7.469599723815918,38
7,-11.700000000000001,0.28862527655881326,7.537942409515381,18
8,-16.099999999999994,0.16637865271137944,5.310675144195557,62
9,-14.899999999999999,0.10670007706803492,4.314736366271973,50
10,-10.5,0.10116092427527802,0.7830421924591064,6
11,3.2000000000000206,0.02194440023883282,2.401247262954712,172
12,38.19999999999988,0.001200999275500406,0.2657999098300934,327
13,32.99999999999991,0.0006113427735055892,0.25157758593559265,76
14,25.399999999999906,6.457203304766931e-05,0.3968378007411957,253
15,31.899999999999437,2.2727207973487123e-08,0.6316412687301636,895
16,50.40000000000032,2.4908531619437635e-10,0.42686009407043457,508
17,97.90000000000009,3.0871919769617645e-11,0.08464884012937546,235
18,154.80000000000086,2.7542846627098915e-12,0.25979748368263245,272
19,101.00000000000023,4.496169899915761e-13,0.5772176384925842,204
20,112.90000000000026,8.612563504875635e-14,0.2624496519565582,186
21,52.99999999999994,4.306824350873081e-14,0.8780134916305542,78
22,151.40000000000077,6.968389097768352e-15,0.6801900267601013,205
23,90.70000000000009,1.1175036953658893e-15,2.628460168838501,206
24,146.60000000000053,1.180344132216999e-16,3.220879316329956,253
25,116.1000000000003,3.004522118856713e-17,0.6997466683387756,154
26,191.90000000000072,4.904664393383199e-18,0.6737325191497803,204
27,54.69999999999996,2.852536394994349e-18,0.706893265247345,61
28,200.20000000000093,1.6176510857312076e-19,0.5241639614105225,323
29,196.0000000000007,1.5495275406238476e-20,0.6667202711105347,264
30,127.80000000000021,4.546786671346594e-21,0.7464883923530579,138
31,109.30000000000013,1.551697400759634e-21,1.0718601942062378,121
32,117.20000000000013,4.355309516828437e-22,2.792417287826538,143
33,92.00000000000013,1.9231915552016446e-22,1.8601566553115845,92
34,193.60000000000045,3.651351219465192e-23,1.309651255607605,187
35,135.4000000000006,8.580102041193927e-24,2.195345640182495,163
36,143.30000000000072,6.759529006840727e-25,0.3201353847980499,286
37,178.90000000000072,8.528040644576508e-26,1.2605918645858765,233
38,52.89999999999991,4.226835310597643e-26,0.7612348794937134,79
39,207.0000000000008,4.3858895383434816e-27,0.46223944425582886,255
40,90.00000000000026,1.6213921293819123e-27,0.8848944306373596,112
41,218.10000000000085,1.838725915515872e-28,3.0810513496398926,245
42,75.50000000000003,1.127952575200791e-28,2.1068601608276367,55
43,114.20000000000013,5.949322437991926e-29,0.9789919853210449,72
44,193.50000000000065,1.1195407750713052e-29,0.8492620587348938,188
45,132.80000000000013,2.08811141195209e-30,3.4615695476531982,189
46,225.00000000000077,1.7819912479179834e-31,0.8353354334831238,277
47,184.4000000000005,3.664920423766441e-32,1.966853141784668,178
48,166.10000000000056,8.923557418410565e-33,1.8821474313735962,159
49,164.80000000000064,1.9357485802614668e-33,2.586367607116699,172
50,168.00000000000037,5.580034874339884e-34,0.9867913126945496,140
51,156.1000000000005,1.3707840541794783e-34,0.9690828323364258,158
52,130.00000000000028,4.890629748566813e-35,1.0026741027832031,116
53,132.30000000000027,2.1404724722175252e-35,1.534578800201416,93
54,179.30000000000058,2.7981893672730737e-36,1.1852891445159912,229
55,120.10000000000025,1.0162256634291682e-36,2.3885865211486816,114
56,74.59999999999997,5.75487751338113e-37,0.7455210089683533,64
57,159.2000000000004,1.8620296602850602e-37,0.7528601884841919,127
58,241.7000000000007,2.856339875957568e-38,0.7111208438873291,211
59,182.60000000000062,5.006255749751217e-39,4.5572943687438965,196
60,212.70000000000073,8.619833294388209e-40,1.7642998695373535,198
61,127.50000000000031,2.4627944893232658e-40,3.5862302780151367,141
62,112.80000000000021,1.1470534002424922e-40,3.4006097316741943,86
63,120.30000000000027,4.240470123277156e-41,1.7977774143218994,112
64,244.4000000000011,3.370517980552707e-42,2.086392641067505,285
65,157.70000000000027,9.544810210848293e-43,0.9450127482414246,142
66,110.80000000000025,3.72177070184342e-43,3.550300121307373,106
67,157.00000000000045,9.903977839939655e-44,0.959780216217041,149
68,203.3000000000006,1.8147052526251212e-44,1.2758278846740723,191
69,264.6000000000007,1.4424100407643982e-45,4.5854597091674805,285
70,147.60000000000042,4.084692668828454e-46,2.82861590385437,142
71,164.40000000000055,8.5513697124544865e-47,4.500673294067383,176
72,165.80000000000064,2.0273707865854214e-47,6.2327961921691895,162
73,236.4000000000011,1.941992866434697e-48,4.338446140289307,264
74,192.60000000000068,3.3735886136366123e-49,7.254642009735107,197
75,190.30000000000084,4.777354774169704e-50,2.5306997299194336,220
76,65.19999999999996,2.879015625874149e-50,6.132122039794922,57
77,101.90000000000013,1.2489073637790976e-50,7.117323398590088,94
78,202.10000000000065,2.0569454472234062e-51,3.0970096588134766,203
79,157.70000000000044,5.824966376413269e-52,1.3340507745742798,142
80,290.5999999999992,3.1597578041618526e-53,2.9996418952941895,328
81,249.1000000000006,3.8132329197214493e-54,3.1261885166168213,238
82,145.50000000000028,8.960498618602357e-55,4.9682722091674805,163
83,177.20000000000041,2.3844719855925505e-55,2.0636448860168457,149
84,120.30000000000027,8.815005659334595e-56,0.9196544289588928,112
85,233.80000000000064,1.6441307296294308e-56,7.3740620613098145,189
86,54.89999999999998,9.733646278936508e-57,1.8266117572784424,59
87,187.50000000000037,2.6366526613933077e-57,2.1668291091918945,147
88,183.9000000000006,5.187028299862499e-58,2.856581926345825,183
89,182.60000000000045,9.091211612764923e-59,6.5400285720825195,196
90,158.0000000000004,2.64404223419136e-59,6.2869977951049805,139
91,218.60000000000082,3.134661223992861e-60,1.2618982791900635,240
92,130.4000000000002,1.1588333432538563e-60,1.874579668045044,112
93,201.8000000000008,1.858392987576023e-61,1.198319435119629,206
94,202.10000000000065,3.0607658388525113e-62,2.4846272468566895,203
95,57.29999999999998,2.242730537343866e-62,4.114356517791748,35
96,211.70000000000076,3.5332661849713004e-63,15.68358039855957,208
97,54.69999999999996,2.0549357871316469e-63,4.632562160491943,61
98,122.50000000000017,9.236747876588796e-64,5.6367950439453125,90
99,150.7000000000003,3.445149859258636e-64,1.862720012664795,111
