Episode,Score,Epsilon,Loss,Steps
0,-10.8,0.9,N/A,9
1,-1.9999999999999964,0.9,N/A,22
2,-12.3,0.7074111677357112,2.979949474334717,24
3,-13.3,0.5029562756299273,0.048834361135959625,34
4,-14.200000000000001,0.32671913983750456,4.3835835456848145,43
5,-20.49999999999998,0.11280311779975363,1.9001723527908325,106
6,-13.3,0.08020093348201743,3.1217849254608154,34
7,-6.999999999999994,0.038946427784040186,2.164058208465576,72
8,-87.59999999999987,1.603225182964497e-05,0.6511690020561218,777
9,-99.9999999999986,7.045085762680046e-10,0.06632790714502335,1000
10,-14.799999999999999,4.3091139676129585e-10,3.600933790206909,49
11,20.69999999999999,1.6120977535527636e-10,0.018107175827026367,98
12,-89.89999999999915,7.084074684132871e-15,0.0804683044552803,1000
13,-99.9999999999986,3.112969670714814e-19,2.5082108974456787,1000
14,-89.89999999999917,1.3679387362326295e-23,0.024651935324072838,1000
15,-89.89999999999915,6.011161636714679e-28,0.055936843156814575,1000
16,-99.9999999999986,2.6414972590238455e-32,0.0014094519428908825,1000
17,16.599999999999987,1.8041807768196782e-32,0.0008558868430554867,38
18,-89.89999999999915,7.928149107894128e-37,1.462235927581787,1000
19,-99.9999999999986,3.483883050112149e-41,0.005464082583785057,1000
20,-89.89999999999915,1.5309299739044208e-45,0.004311650991439819,1000
21,8.200000000000024,4.5018199419170224e-46,0.0012854612432420254,122
22,-89.89999999999915,1.9782440992040703e-50,0.04982827976346016,1000
23,5.699999999999962,1.643300680262873e-51,0.033457353711128235,248
24,-0.2999999999999936,5.673663327722476e-52,0.01950645260512829,106
25,-99.9999999999986,2.4931896752312155e-56,0.009508679620921612,1000
26,-12.5,1.920748512138539e-56,0.04554012417793274,26
27,-30.79999999999999,3.1095605514997618e-58,0.32537344098091125,411
28,-79.79999999999968,1.3664406598862415e-62,0.10551013797521591,1000
29,-89.89999999999915,6.004578608671284e-67,0.1132248193025589,1000
30,17.49999999999998,4.488760104238007e-67,0.04275432974100113,29
31,-29.600000000000428,3.921357251391543e-70,0.033464156091213226,702
32,-99.9999999999986,1.7231701719578415e-74,0.10337738692760468,1000
33,-89.89999999999914,7.57216252222755e-79,0.06642156839370728,1000
34,-31.30000000000023,1.1659042842411877e-80,0.048897482454776764,416
35,-89.89999999999931,5.123357442756165e-85,0.1339675933122635,1000
36,-3.599999999999989,3.4993271257122493e-85,0.07484696060419083,38
37,-2.3999999999999932,2.695874861416033e-85,0.16833911836147308,26
38,2.0000000000000284,4.255903896945001e-86,0.062403976917266846,184
39,-99.9999999999986,1.8701807001472093e-90,0.036353275179862976,1000
40,14.899999999999963,3.909981343459783e-91,2.2621095180511475,156
41,-99.9999999999986,1.718171233077691e-95,0.03734583780169487,1000
42,-49.50000000000099,7.550195581146971e-100,0.04715968295931816,1000
43,-89.89999999999915,3.3177981458495014e-104,0.0083658741787076,1000
44,-69.70000000000046,1.4579469390288497e-108,0.00918140634894371,1000
45,-69.70000000000046,6.406686554101243e-113,0.012777206487953663,1000
46,-99.9999999999986,2.8153035960171775e-117,0.02366536669433117,1000
47,-89.89999999999931,1.2371347139924394e-121,0.01133660413324833,1000
48,16.299999999999997,8.199276940117444e-122,0.08721403777599335,41
49,-89.89999999999931,3.603025317272077e-126,0.043510522693395615,1000
50,-99.9999999999986,1.5832849081345403e-130,0.041937343776226044,1000
51,-89.89999999999914,6.957461798310507e-135,0.029286671429872513,1000
52,-99.9999999999986,3.0573319069897073e-139,0.03855360671877861,1000
53,-99.9999999999986,1.3434897180128464e-143,0.013229760341346264,1000
54,-65.70000000000068,6.558916217953468e-147,0.09595330059528351,760
55,-28.20000000000013,1.378305249745204e-148,0.14860647916793823,385
56,-79.79999999999971,6.056715422628279e-153,0.10600530356168747,1000
57,-99.9999999999986,2.6615150539029503e-157,0.028136981651186943,1000
58,22.299999999999947,4.24402680992728e-158,0.027129510417580605,183
59,-89.89999999999915,1.864961527099044e-162,0.015803074464201927,1000
60,-59.6000000000008,8.19523922286249e-167,0.03745109587907791,1000
61,-69.70000000000043,3.601251014781775e-171,0.04285654425621033,1000
62,-89.89999999999931,1.582505222701337e-175,1.1061387062072754,1000
63,-69.70000000000043,6.954035610396805e-180,0.1116279885172844,1000
64,80.39999999999992,8.628958812430121e-181,0.01542880292981863,208
65,31.599999999999937,1.2698450251177518e-181,0.7350122332572937,191
66,-11.700000000000172,5.071296189387741e-183,0.03255839645862579,321
