Episode,Score,Epsilon,Loss,Steps
0,-10.8,0.9,N/A,9
1,-11.1,0.9,N/A,12
2,-10.8,0.9,N/A,9
3,-4.899999999999999,0.9,N/A,51
4,-10.5,0.9,N/A,6
5,-10.4,0.9,N/A,5
6,-11.4,0.9,N/A,15
7,-11.2,0.9,N/A,13
8,-12.700000000000001,0.8058445543698982,5.869331359863281,28
9,-10.5,0.7807994420148235,5.5696120262146,6
10,-12.3,0.6881646657412457,4.758066654205322,24
11,-4.69999999999999,0.5317565201566702,3.8985161781311035,49
12,-11.3,0.49399058042154825,3.927088737487793,14
13,-2.099999999999996,0.43768013932432565,5.001669883728027,23
14,-1.9999999999999947,0.3898345341180857,3.5341343879699707,22
15,-13.700000000000003,0.31918246808007295,2.7641890048980713,38
16,-3.2999999999999723,0.15604097526860344,1.6708779335021973,136
17,-3.499999999999991,0.12843478774034425,0.928993284702301,37
18,-13.700000000000003,0.10515777580106776,1.905780553817749,38
19,-3.900000000000002,0.0847508808311892,1.1519871950149536,41
20,43.799999999999926,0.058946596894178804,2.3881545066833496,69
21,14.799999999999969,0.043901778419948974,1.2787091732025146,56
22,6.599999999999994,0.021237879246672153,1.5832014083862305,138
23,158.1000000000007,0.006038446159112913,2.8149125576019287,239
24,118.40000000000015,0.0030307583478904445,1.7552639245986938,131
25,80.60000000000007,0.0017441954131488856,1.4344778060913086,105
26,182.60000000000068,0.0006218375678342103,0.9111228585243225,196
27,35.29999999999995,0.00047049631101590014,0.8218241930007935,53
28,64.59999999999998,0.00033774001679466283,0.4609619975090027,63
29,168.70000000000036,0.00016774054071665045,1.0263766050338745,133
30,97.50000000000026,8.114599172804675e-05,0.6364626288414001,138
31,164.2000000000006,3.1804182128098196e-05,1.3172372579574585,178
32,219.40000000000086,9.381998538364059e-06,1.0483325719833374,232
33,156.90000000000055,4.260895002420936e-06,0.7125524282455444,150
34,176.3000000000005,1.8553417992365324e-06,0.7234615683555603,158
35,202.10000000000062,6.375418039721613e-07,0.9686732292175293,203
36,111.1000000000002,3.707857975185102e-07,1.2185568809509277,103
37,174.20000000000067,1.4456226804258367e-07,1.2020299434661865,179
38,43.79999999999993,1.0054708171573859e-07,1.8834402561187744,69
39,251.0000000000008,3.1760655593771e-08,0.7006285786628723,219
40,214.20000000000059,1.212495494737447e-08,1.5874687433242798,183
41,195.20000000000059,4.930538689340583e-09,1.3320661783218384,171
42,189.80000000000084,1.5090463462688481e-09,2.220224380493164,225
43,214.70000000000059,5.914523171683314e-10,1.9606413841247559,178
44,260.4999999999999,1.8102057694926677e-10,1.5906572341918945,225
45,217.80000000000095,4.908788541675318e-11,1.6278256177902222,248
46,192.0000000000006,1.6867824049807766e-11,1.9638828039169312,203
47,167.20000000000044,7.74167842092848e-12,2.8767895698547363,148
48,205.9000000000011,1.9096165212074186e-12,2.4499402046203613,266
49,74.00000000000006,1.32122074272909e-12,1.8375953435897827,70
50,239.2000000000009,3.8163247605469736e-13,2.57045841217041,236
51,221.60000000000065,1.2639589954888554e-13,3.07938289642334,210
52,163.70000000000047,4.8252926739449075e-14,2.8191704750061035,183
53,237.40000000000103,1.2678219267046599e-14,1.1226296424865723,254
54,146.1000000000005,5.549663515182358e-15,2.947896957397461,157
55,189.10000000000042,2.785433302446281e-15,3.9319586753845215,131
56,203.5000000000007,1.0303188790412336e-15,3.4004690647125244,189
57,154.80000000000064,4.189728636122351e-16,3.740309238433838,171
58,251.50000000000114,7.985780799504583e-17,2.96201229095459,315
59,210.90000000000086,2.562673417512573e-17,5.178369998931885,216
60,230.50000000000085,7.968147443540241e-18,2.594022274017334,222
61,165.80000000000052,3.3973420212081956e-18,4.095734596252441,162
62,93.80000000000013,2.301586510189003e-18,4.6227030754089355,74
63,221.40000000000086,7.543004551001449e-19,2.963869094848633,212
64,197.2000000000004,3.4077250309350306e-19,6.921799182891846,151
65,248.00000000000057,9.192330423097015e-20,2.8251240253448486,249
66,138.10000000000045,4.4939191454947726e-20,3.271652936935425,136
67,221.7000000000006,1.4962294933182888e-20,5.427423477172852,209
68,159.90000000000032,7.957242404642244e-21,4.3184309005737305,120
69,254.40000000000043,1.76671984442393e-21,5.041286468505859,286
70,185.80000000000047,7.453821746346178e-22,3.5185537338256836,164
71,156.6000000000005,3.3321809984138534e-22,5.678400039672852,153
72,120.4000000000002,1.858063843515659e-22,4.007590293884277,111
73,203.60000000000056,6.909153209983578e-23,3.314858913421631,188
74,254.30000000000058,1.5259651849210043e-23,3.0464656352996826,287
75,272.3000000000005,5.1074353610636896e-24,4.728118419647217,208
76,212.6000000000007,1.792374697296297e-24,6.731357097625732,199
77,172.40000000000066,6.356606440081176e-25,3.3422017097473145,197
78,142.60000000000028,3.937887543314437e-25,4.6295576095581055,91
79,103.40000000000009,2.598512784439564e-25,8.338001251220703,79
80,223.50000000000063,9.511152785149182e-26,4.201047897338867,191
81,312.59999999999883,1.861191808498833e-26,4.308044910430908,310
82,234.10000000000048,6.994004654917465e-27,6.644680976867676,186
83,196.50000000000048,3.045432748976552e-27,4.145566463470459,158
84,193.40000000000063,1.1264914702374195e-27,3.586684226989746,189
85,160.2000000000006,3.577117391354936e-28,5.371599197387695,218
86,129.8000000000003,1.9225080351588237e-28,8.522092819213867,118
87,218.70000000000044,9.300305129075798e-29,3.180694818496704,138
88,63.89999999999999,6.434672047388524e-29,3.0497217178344727,70
89,238.20000000000095,1.7633697668332998e-29,2.630714178085327,246
90,219.5000000000009,5.2292549538841614e-30,3.7189786434173584,231
91,179.7000000000007,1.600471790015009e-30,5.612218856811523,225
92,137.5000000000004,7.5811636212334055e-31,5.226259708404541,142
93,174.50000000000057,3.0027807502356332e-31,3.350353479385376,176
