Episode,Score,Epsilon,Loss,Steps
0,-12.3,0.9,N/A,24
1,-13.700000000000003,0.9,N/A,38
2,-10.9,0.9,N/A,10
3,-10.6,0.9,N/A,7
4,-13.600000000000001,0.9,N/A,37
5,-14.7,0.6441643862090811,1.7859102487564087,48
6,-11.6,0.5524107915257113,1.8130993843078613,17
7,-11.1,0.4956275149969074,1.9114875793457031,12
8,-11.0,0.4487187580099912,1.8908262252807617,11
9,-2.299999999999999,0.3579605539825794,2.9779648780822754,25
10,-12.200000000000001,0.2907684239042522,2.0029258728027344,23
11,-15.899999999999995,0.16904935349483352,1.1875401735305786,60
12,-19.20000000000004,2.006556429991687e-05,0.12051349878311157,1000
13,-79.7999999999997,2.3817119814445375e-09,0.07097833603620529,1000
14,-99.9999999999986,2.827008439817457e-13,0.07317623496055603,1000
15,-5.599999999999925,1.081930026487589e-14,0.1801019310951233,361
16,74.59999999999988,3.922092840907443e-16,0.6006083488464355,367
17,56.2000000000001,4.1684870816037014e-17,0.3127724826335907,248
18,44.89999999999981,1.0313479302654981e-19,0.17644613981246948,664
19,15.099999999999529,2.669683353396392e-22,0.3037022054195404,659
20,-59.60000000000098,3.1688203403647003e-26,0.10854324698448181,1000
21,96.20000000000022,8.093525409330226e-27,0.4635651111602783,151
22,144.80000000000064,1.7409735429325744e-27,0.1975770741701126,170
23,219.80000000000067,2.2169913785182105e-28,0.27264299988746643,228
24,50.59999999999989,1.4203426059778815e-29,0.32534611225128174,304
25,128.80000000000052,1.792418367119074e-30,0.24892252683639526,229
26,144.50000000000037,3.7524691970877284e-31,0.5416356325149536,173
27,220.80000000000075,5.230516665703859e-32,0.35745933651924133,218
28,163.2000000000006,9.561783554626779e-33,0.30883651971817017,188
29,130.8000000000004,3.6022860629579336e-33,0.33019283413887024,108
30,117.10000000000025,9.801606207951088e-34,0.7192152738571167,144
31,184.60000000000042,1.997093113842652e-34,0.4076865613460541,176
32,131.60000000000014,8.088017840508641e-35,0.7787395119667053,100
33,202.90000000000052,1.3878977891416754e-35,0.378769189119339,195
34,142.10000000000056,2.338954336184239e-36,0.45013290643692017,197
35,198.50000000000082,2.696574308540707e-37,0.6548299193382263,239
