Episode,Score,Epsilon,Loss,Steps
0,-10.5,0.9,N/A,6
1,-10.5,0.9,N/A,6
2,-11.8,0.9,N/A,19
3,-11.9,0.9,N/A,20
4,-10.8,0.9,N/A,9
5,-12.200000000000001,0.9,N/A,23
6,-1.1999999999999975,0.9,N/A,14
7,-10.7,0.9,N/A,8
8,-10.8,0.9,N/A,9
9,-10.9,0.9,N/A,10
10,-11.5,0.868133368189407,3.5201637744903564,16
11,-10.7,0.849086529336885,1.8561547994613647,8
12,-11.3,0.8167545801075767,1.3899176120758057,14
13,-10.7,0.7988349914367562,0.9476121664047241,8
14,-10.7,0.7813085583918141,0.5146594643592834,8
15,-11.8,0.74120893791856,0.11922333389520645,19
16,-12.3,0.6934851283915433,0.027545135468244553,24
17,-12.4,0.6470373403278699,0.4626151919364929,25
18,-10.7,0.6328413464813339,0.17105549573898315,8
19,-10.7,0.6189568126213092,0.10476651787757874,8
20,-12.700000000000001,0.572716377820782,0.03703834116458893,28
21,-13.200000000000001,0.522633563220958,0.7105121612548828,33
22,-12.0,0.4930679092336139,0.45455023646354675,21
23,-12.200000000000001,0.4626020518441832,0.2155706286430359,23
24,-14.4,0.4083320797716781,0.32941776514053345,45
25,-11.1,0.39496785642682963,0.1764267534017563,12
26,-14.200000000000001,0.3505712713405781,0.04083080217242241,43
27,-10.9,0.3409833714313327,0.02495412342250347,10
28,-12.900000000000002,0.31376451888437923,0.018597742542624474,30
29,-1.099999999999996,0.3026549428860276,0.4526888430118561,13
30,-7.69999999999998,0.243112393177771,0.11656375229358673,79
31,-11.1,0.23515561368068852,0.1844041794538498,12
32,-12.0,0.2218527376380234,0.4612484574317932,21
33,-13.200000000000001,0.20245219321869581,0.5185288786888123,33
34,-25.79999999999996,0.1302677249349801,0.028200622648000717,159
35,-21.499999999999975,0.09443578621659092,0.05375036224722862,116
36,-18.19999999999999,0.07502027961408561,0.21831341087818146,83
37,-12.900000000000002,0.06903181771262827,0.11194919049739838,30
38,-15.399999999999997,0.05926688912612267,0.18913570046424866,55
39,-11.0,0.05748634495805154,0.14819912612438202,11
40,-25.999999999999957,0.036784970704441464,0.04990619793534279,161
41,57.499999999999616,0.010949289393336583,0.7078857421875,437
42,-10.099999999999994,0.008228899653633357,0.6051681041717529,103
43,92.29999999999998,0.0027749255799126927,0.1631048321723938,392
44,126.20000000000053,0.0013682066627928855,0.44028612971305847,255
45,14.899999999999807,0.0008877260829994715,1.5643291473388672,156
46,-5.499999999999915,0.0003271346510992871,0.30217045545578003,360
47,71.90000000000006,0.0002541757583798649,0.7231974601745605,91
48,32.09999999999997,0.00020080179076830836,0.564129114151001,85
49,-12.900000000000002,0.00018477287325498776,0.9993354082107544,30
50,41.49999999999987,0.00010819468731985961,0.3203573524951935,193
51,79.60000000000026,3.394715552213785e-05,0.37687617540359497,418
52,126.9000000000004,1.7066086275262656e-05,0.521315336227417,248
53,44.899999999999785,6.271583262983525e-06,0.355780690908432,361
54,100.70000000000059,2.6696172540768982e-06,0.34004446864128113,308
55,8.99999999999983,1.470692418540897e-06,0.33277860283851624,215
56,55.399999999999565,4.1299692210276835e-07,0.4608505368232727,458
57,88.60000000000002,1.663153664132972e-07,0.8833500146865845,328
58,68.60000000000004,3.8464091275714385e-08,0.7606491446495056,528
59,24.59999999999954,1.4095952249432822e-08,0.45970970392227173,362
60,45.59999999999983,3.0164544719692942e-09,0.5931134223937988,556
61,80.10000000000002,9.596564579965308e-10,0.5290105938911438,413
62,167.1000000000009,4.797751085870043e-10,0.4595719277858734,250
63,69.50000000000033,3.4877214843344037e-10,0.6323885917663574,115
64,101.60000000000036,2.0141321367816694e-10,1.4386186599731445,198
65,108.60000000000147,8.066124039575403e-11,0.6751802563667297,330
66,41.79999999999987,4.7626158951700634e-11,1.2082065343856812,190
67,-89.89999999999917,2.9753170143861743e-12,0.12045902758836746,1000
68,-79.79999999999973,1.8587497986292536e-13,0.176151305437088,1000
69,-89.8999999999993,1.1612042673768889e-14,0.28312596678733826,1000
70,-89.89999999999914,7.254313364653367e-16,0.5757505893707275,1000
