Game,Score
798,1
799,3
800,6
801,6
802,4
803,14
804,3
805,13
806,10
807,9
808,2
809,11
810,3
811,7
812,9
813,6
814,1
815,11
816,2
817,0
818,0
819,1
820,2
821,12
822,11
823,8
824,2
825,2
826,2
827,2
828,5
829,2
830,5
831,0
832,7
833,1
834,2
835,0
836,4
837,7
838,6
839,11
840,9
841,0
842,0
843,6
844,2
845,0
846,0
847,3
848,2
849,0
850,0
851,2
852,0
853,0
854,2
855,1
856,0
857,0
858,0
859,2
860,7
861,15
862,4
863,14
864,3
865,6
866,5
867,6
868,5
869,1
870,14
871,11
872,11
873,13
874,17
875,9
876,2
877,5
878,7
879,1
880,2
881,9
882,13
883,7
884,9
885,5
886,9
887,5
888,3
889,6
890,6
891,4
892,0
893,2
894,1
895,1
896,11
897,7
898,6
899,1
900,0
901,0
902,1
903,19
904,7
905,0
906,3
907,9
908,0
909,1
910,9
911,8
912,2
913,8
914,4
915,8
916,1
917,7
918,16
919,8
920,1
921,3
922,1
923,7
924,1
925,0
926,0
927,0
928,0
929,0
930,18
931,3
932,3
933,11
934,3
935,0
936,2
937,12
938,1
939,1
940,6
941,4
942,1
943,2
944,6
945,13
946,7
947,7
948,5
949,1
950,11
951,9
952,12
953,8
954,7
955,4
956,5
957,11
958,11
959,19
960,18
961,9
962,12
963,5
964,1
965,13
966,4
967,10
968,6
969,20
970,3
971,12
972,6
973,5
974,14
975,2
976,1
977,0
978,1
979,3
980,2
981,0
982,0
983,0
984,0
985,0
986,0
987,2
988,14
989,4
990,2
991,4
992,9
993,13
994,9
995,5
996,11
997,0
998,20
999,0
1000,7
1001,1
1002,4
1003,13
1004,16
1005,2
1006,5
1007,4
1008,1
1009,20
1010,3
1011,15
1012,9
1013,9
1014,3
1015,10
1016,4
1017,7
1018,7
1019,3
1020,0
1021,0
1022,7
1023,1
1024,18
1025,12
1026,0
1027,8
1028,5
1029,12
1030,6
1031,5
1032,2
1033,5
1034,10
1035,5
1036,0
1037,0
1038,10
1039,0
1040,0
1041,6
1042,1
1043,6
1044,0
1045,1
1046,5
1047,3
1048,0
1049,1
1050,0
1051,1
1052,0
1053,7
1054,0
1055,1
1056,24
1057,2
1058,8
1059,17
1060,37
1061,15
1062,14
1063,1
1064,1
1065,1
1066,16
1067,2
1068,8
1069,3
1070,0
1071,4
1072,0
1073,0
1074,2
1075,12
1076,16
1077,14
1078,17
1079,8
1080,6
1081,3
1082,9
1083,7
1084,1
1085,10
1086,19
1087,25
1088,0
1089,11
1090,5
1091,18
1092,1
1093,4
1094,10
1095,5
1096,10
1097,20
1098,21
1099,19
1100,6
1101,9
1102,4
1103,5
1104,4
1105,11
1106,9
1107,12
1108,1
1109,9
1110,13
1111,11
1112,11
1113,7
1114,7
1115,2
1116,8
1117,9
1118,9
1119,11
1120,13
1121,15
1122,18
1123,11
1124,21
1125,3
1126,13
1127,9
1128,11
1129,3
1130,12
1131,11
1132,3
1133,2
1134,2
1135,5
1136,15
1137,10
1138,2
1139,11
1140,4
1141,2
1142,10
1143,4
1144,3
1145,6
1146,13
1147,14
1148,6
1149,14
1150,7
1151,12
1152,14
1153,17
1154,2
1155,4
1156,14
1157,7
1158,4
1159,6
1160,3
1161,10
1162,13
1163,0
1164,4
1165,0
1166,1
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,6
1174,2
1175,1
1176,0
1177,26
1178,9
1179,5
1180,10
1181,2
1182,6
1183,10
1184,10
1185,9
1186,13
1187,6
1188,1
1189,9
1190,7
1191,10
1192,10
1193,2
1194,2
1195,1
1196,2
1197,1
1198,0
1199,5
1200,3
1201,1
1202,6
1203,3
1204,0
1205,1
1206,3
1207,0
1208,6
1209,17
1210,2
1211,0
1212,0
1213,0
1214,2
1215,8
1216,1
1217,16
1218,20
1219,9
1220,9
1221,19
1222,0
1223,0
1224,3
1225,2
1226,3
1227,6
1228,25
1229,8
1230,0
1231,13
1232,8
1233,11
1234,2
1235,22
1236,1
1237,2
1238,0
1239,8
1240,41
1241,17
1242,25
1243,13
1244,15
1245,0
1246,1
1247,3
1248,2
1249,12
1250,9
1251,16
1252,9
1253,27
1254,8
1255,4
1256,10
1257,16
1258,7
1259,5
1260,28
1261,1
1262,1
1263,4
1264,26
1265,1
1266,12
1267,0
1268,8
1269,9
1270,8
1271,16
1272,9
1273,0
1274,6
1275,12
1276,5
1277,0
1278,2
1279,1
1280,10
1281,6
1282,7
1283,0
1284,0
1285,8
1286,1
1287,6
1288,5
1289,9
1290,1
1291,3
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,7
1299,0
1300,5
1301,16
1302,0
1303,3
1304,2
1305,0
1306,0
1307,1
1308,0
1309,11
1310,0
1311,33
1312,8
1313,4
1314,0
1315,0
1316,4
1317,2
1318,0
1319,10
1320,10
1321,8
1322,7
1323,7
1324,22
1325,12
1326,0
1327,19
1328,30
1329,0
1330,29
1331,5
1332,1
1333,3
1334,0
1335,0
1336,0
1337,0
1338,1
1339,0
1340,0
1341,6
1342,4
1343,0
1344,1
1345,0
1346,1
1347,2
1348,1
1349,5
1350,3
1351,6
1352,13
1353,15
1354,28
1355,21
1356,40
1357,17
1358,6
1359,0
1360,0
1361,0
1362,0
1363,0
1364,4
1365,1
1366,3
1367,6
1368,3
1369,6
1370,16
1371,6
1372,17
1373,14
1374,0
1375,6
1376,7
1377,1
1378,1
1379,21
1380,10
1381,4
1382,9
1383,9
1384,8
1385,7
1386,1
1387,12
1388,5
1389,5
1390,17
1391,7
1392,1
1393,3
1394,21
1395,1
1396,18
1397,5
1398,9
1399,4
1400,13
1401,8
1402,12
1403,3
1404,1
1405,5
1406,4
1407,0
1408,0
1409,2
1410,0
1411,2
1412,14
1413,4
1414,5
1415,4
1416,1
1417,11
1418,6
1419,6
1420,2
1421,0
1422,0
1423,0
1424,0
1425,5
1426,0
1427,0
1428,2
1429,0
1430,1
1431,1
1432,0
1433,0
1434,5
1435,3
1436,7
1437,1
1438,3
1439,2
1440,8
1441,0
1442,2
1443,0
1444,3
1445,0
1446,3
1447,4
1448,0
1449,2
1450,31
1451,7
1452,2
1453,1
1454,2
1455,2
1456,12
1457,0
1458,2
1459,1
1460,3
1461,4
1462,2
1463,2
1464,5
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,0
1472,5
1473,6
1474,15
1475,0
1476,7
1477,2
1478,1
1479,1
1480,2
1481,2
1482,0
1483,2
1484,0
1485,1
1486,0
1487,0
1488,1
1489,1
1490,3
1491,1
1492,1
1493,0
1494,4
1495,3
1496,2
1497,2
1498,1
1499,0
1500,0
1501,2
1502,0
1503,0
1504,2
1505,0
1506,0
1507,1
1508,0
1509,0
1510,1
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,1
1519,0
1520,7
1521,12
1522,1
1523,2
1524,0
1525,1
1526,1
1527,1
1528,0
1529,3
1530,0
1531,0
1532,0
1533,2
1534,1
1535,11
1536,3
1537,3
1538,3
1539,5
1540,1
1541,3
1542,1
1543,4
1544,0
1545,2
1546,0
1547,0
1548,2
1549,0
1550,1
1551,0
1552,0
1553,0
1554,0
1555,1
1556,1
1557,2
1558,1
1559,0
1560,1
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,2
1569,0
1570,0
1571,2
1572,0
1573,1
1574,4
1575,2
1576,0
1577,2
1578,4
1579,0
1580,0
1581,0
1582,0
1583,2
1584,13
1585,31
1586,13
1587,14
1588,19
1589,18
1590,12
1591,14
1592,12
1593,4
1594,4
1595,6
1596,14
1597,6
1598,5
1599,10
1600,12
1601,5
1602,11
1603,13
1604,1
1605,11
1606,12
1607,13
1608,4
1609,8
1610,1
1611,14
1612,12
1613,7
1614,11
1615,12
1616,11
1617,15
1618,4
1619,14
1620,11
1621,14
1622,9
1623,26
1624,2
1625,0
1626,16
1627,11
1628,11
1629,4
1630,17
1631,12
1632,1
1633,8
1634,16
1635,7
1636,1
1637,20
1638,5
1639,13
1640,6
1641,18
1642,13
1643,7
1644,12
1645,6
1646,1
1647,18
1648,13
1649,20
1650,16
1651,11
1652,18
1653,14
1654,1
1655,5
1656,3
1657,8
1658,7
1659,17
1660,7
1661,12
1662,8
1663,20
1664,28
1665,14
1666,21
1667,17
1668,7
1669,29
1670,5
1671,13
1672,9
1673,4
1674,11
1675,10
1676,15
1677,13
1678,19
1679,7
1680,14
1681,6
1682,12
1683,16
1684,4
1685,16
1686,7
1687,10
1688,11
1689,5
1690,11
1691,15
1692,9
1693,5
1694,10
1695,11
1696,6
1697,12
1698,22
1699,16
1700,16
1701,18
1702,6
1703,5
1704,16
1705,1
