Episode,TotalReward,ApplesEaten,AvgLoss,Epsilon,StepsPerApple,EpisodeTime
0,-50,0,0.0,1,0.0,0.0
1,-50,0,0.0,0.999,0.0,0.0
2,-50,0,0.0,0.998001,0.0,0.0015044212341308594
3,-50,0,0.0,0.997002999,0.0,0.002509593963623047
4,-50,0,57.79064821729473,0.996005996001,0.0,0.06418085098266602
5,-40,1,51.13824829688439,0.995009990004999,13.0,0.07929587364196777
6,-50,0,61.10461980646307,0.994014980014994,0.0,0.10635256767272949
7,-50,0,57.78078696307014,0.993020965034979,0.0,0.15141892433166504
8,-50,0,58.91401539908515,0.9920279440699441,0.0,0.19496440887451172
9,-50,0,54.06540324770171,0.9910359161258742,0.0,0.2286238670349121
10,-50,0,45.55710443583402,0.9900448802097482,0.0,0.2793562412261963
11,-50,0,51.201850509643556,0.9890548353295385,0.0,0.2956514358520508
12,-50,0,49.57241439819336,0.988065780494209,0.0,0.30565643310546875
13,-50,0,46.35536277294159,0.9870777147137147,0.0,0.32568788528442383
14,-50,0,50.59228642781576,0.986090636999001,0.0,0.3397047519683838
15,-50,0,47.048052995101266,0.9851045463620021,0.0,0.3693423271179199
16,-40,1,46.75363188523512,0.98411944181564,13.0,0.38488149642944336
17,-50,0,42.88213552011026,0.9831353223738244,0.0,0.42797112464904785
18,-40,1,36.41646281480789,0.9821521870514506,40.0,0.4731485843658447
19,-50,0,29.31985969543457,0.9811700348643991,0.0,0.47916269302368164
20,-50,0,25.932909115501072,0.9801888648295347,0.0,0.5098860263824463
21,-50,0,25.559514872233073,0.9792086759647052,0.0,0.546959400177002
22,-50,0,28.581274032592773,0.9782294672887405,0.0,0.5564754009246826
23,-50,0,18.611267185211183,0.9772512378214517,0.0,0.5806264877319336
24,-50,0,17.238481998443604,0.9762739865836303,0.0,0.6006617546081543
25,-50,0,15.762124969845726,0.9752977125970467,0.0,0.6277353763580322
26,-50,0,11.693078136444091,0.9743224148844496,0.0,0.6387748718261719
27,-50,0,11.812017053365707,0.9733480924695651,0.0,0.6573953628540039
28,-50,0,8.522042730275322,0.9723747443770956,0.0,0.6974694728851318
29,-50,0,5.657375587357415,0.9714023696327185,0.0,0.7165005207061768
30,-50,0,4.8077676421717594,0.9704309672630859,0.0,0.7430539131164551
31,-50,0,3.523308436075846,0.9694605362958227,0.0,0.7555615901947021
32,-40,1,3.5973540196816125,0.9684910757595269,24.0,0.7866213321685791
33,-40,1,2.7411567208378815,0.9675225846837673,43.0,0.8397433757781982
34,-50,0,1.8468293926932595,0.9665550620990835,0.0,0.8532695770263672
35,-50,0,2.221348762512207,0.9655885070369844,0.0,0.8777914047241211
36,-50,0,2.0002024948596953,0.9646229185299474,0.0,0.8893008232116699
37,-50,0,2.247198351621628,0.9636582956114175,0.0,0.9223690032958984
38,-50,0,1.684174523309425,0.9626946373158061,0.0,1.0006160736083984
39,-50,0,1.3029332955678303,0.9617319426784903,0.0,1.0258004665374756
40,-40,1,1.3179278671741486,0.9607702107358118,10.0,1.0388972759246826
41,-50,0,1.0196057120958963,0.959809440525076,0.0,1.0604991912841797
42,-50,0,1.3433727962630135,0.9588496310845509,0.0,1.0810866355895996
43,-50,0,1.9464014967282612,0.9578907814534664,0.0,1.0906009674072266
44,-50,0,2.7022525891661644,0.9569328906720129,0.0,1.104172706604004
45,-50,0,2.1377855613827705,0.9559759577813409,0.0,1.138434648513794
46,-50,0,2.0701864090832798,0.9550199818235596,0.0,1.155040979385376
47,-50,0,1.5714553706347942,0.9540649618417361,0.0,1.1663105487823486
48,-50,0,1.0239484310150146,0.9531108968798944,0.0,1.1753106117248535
49,-50,0,1.6271297951539359,0.9521577859830145,0.0,1.196593999862671
50,-50,0,1.3536226426561673,0.9512056281970315,0.0,1.2116947174072266
51,-50,0,1.4570421998699505,0.9502544225688344,0.0,1.2282912731170654
52,-50,0,1.4329602993451631,0.9493041681462656,0.0,1.2463221549987793
53,-50,0,1.5142702460289001,0.9483548639781193,0.0,1.257901668548584
54,-50,0,1.3312448263168335,0.9474065091141411,0.0,1.2674126625061035
55,-50,0,1.9733227729797362,0.946459102605027,0.0,1.2739205360412598
56,-50,0,1.288303169337186,0.9455126435024219,0.0,1.2854516506195068
57,-50,0,0.9781626595391167,0.9445671308589195,0.0,1.2969729900360107
58,-50,0,1.3390704626217484,0.9436225637280606,0.0,1.3402607440948486
59,-50,0,1.2958106832070784,0.9426789411643326,0.0,1.3557817935943604
60,-50,0,1.0981989123604514,0.9417362622231683,0.0,1.4134643077850342
61,-50,0,0.7575837156989358,0.9407945259609451,0.0,1.4274795055389404
62,-50,0,0.8806556728151109,0.9398537314349842,0.0,1.440495491027832
63,-50,0,1.0713054415057688,0.9389138777035492,0.0,1.4640429019927979
64,-50,0,1.1294006556272507,0.9379749638258457,0.0,1.472059726715088
65,-50,0,1.238144688308239,0.9370369888620198,0.0,1.483086109161377
66,-40,1,0.9290929527386375,0.9360999518731578,23.0,1.5162014961242676
67,-50,0,0.739205005494031,0.9351638519212846,0.0,1.5307397842407227
68,-50,0,1.1750560626387596,0.9342286880693633,0.0,1.5416338443756104
69,-50,0,0.9580519162118435,0.933294459381294,0.0,1.5726923942565918
70,-50,0,0.8659300080367497,0.9323611649219127,0.0,1.5902173519134521
71,-50,0,0.6972790360450745,0.9314288037569908,0.0,1.616762638092041
72,-50,0,0.8396325409412384,0.9304973749532338,0.0,1.6453611850738525
73,-50,0,0.5712348934262991,0.9295668775782806,0.0,1.696455717086792
74,-50,0,0.6541210467165167,0.9286373107007023,0.0,1.7234954833984375
